timestamp,y_long,y_short,weights
2024-11-16 10:00:00,0,1,1.0666666666666664
2024-11-16 20:00:00,0,1,1.0699999999999998
2024-11-16 21:00:00,0,1,1.0699999999999998
2024-11-16 22:00:00,0,1,1.0699999999999998
2024-11-16 23:00:00,0,1,1.0699999999999998
2024-11-17 00:00:00,0,1,1.0699999999999998
2024-11-17 15:00:00,1,0,1.0733333333333333
2024-11-17 16:00:00,1,0,1.0733333333333333
2024-11-17 17:00:00,1,0,1.0733333333333333
2024-11-17 18:00:00,1,0,1.0733333333333333
2024-11-17 19:00:00,1,0,1.0733333333333333
2024-11-17 20:00:00,1,0,1.0733333333333333
2024-11-18 00:00:00,0,1,1.0733333333333333
2024-11-19 01:00:00,1,0,1.0766666666666667
2024-11-19 02:00:00,1,0,1.0766666666666667
2024-11-19 03:00:00,1,0,1.0766666666666667
2024-11-19 04:00:00,1,0,1.0766666666666667
2024-11-19 12:00:00,1,0,1.08
2024-11-19 14:00:00,1,0,1.08
2024-11-19 15:00:00,1,0,1.08
2024-11-20 10:00:00,0,1,1.08
2024-11-20 11:00:00,0,1,1.08
2024-11-20 12:00:00,0,1,1.0833333333333335
2024-11-20 13:00:00,0,1,1.0833333333333335
2024-11-20 14:00:00,0,1,1.0833333333333335
2024-11-20 15:00:00,0,1,1.0833333333333335
2024-11-20 20:00:00,0,1,1.0833333333333335
2024-11-20 21:00:00,0,1,1.0833333333333335
2024-11-20 22:00:00,0,1,1.0833333333333335
2024-11-20 23:00:00,0,1,1.0833333333333335
2024-11-21 00:00:00,0,1,1.0833333333333335
2024-11-21 01:00:00,0,1,1.0833333333333335
2024-11-21 02:00:00,1,0,1.0833333333333335
2024-11-21 03:00:00,1,0,1.0833333333333335
2024-11-21 09:00:00,1,0,1.0833333333333335
2024-11-21 10:00:00,1,0,1.0833333333333335
2024-11-21 11:00:00,1,0,1.0833333333333335
2024-11-22 09:00:00,0,1,1.0866666666666667
2024-11-22 11:00:00,0,1,1.0866666666666667
2024-11-22 12:00:00,0,1,1.0899999999999999
2024-11-22 14:00:00,0,1,1.0899999999999999
2024-11-22 15:00:00,0,1,1.0899999999999999
2024-11-22 16:00:00,0,1,1.0899999999999999
2024-11-22 21:00:00,1,0,1.0899999999999999
2024-11-22 22:00:00,1,0,1.0899999999999999
2024-11-22 23:00:00,1,0,1.0899999999999999
2024-11-23 00:00:00,1,0,1.0899999999999999
2024-11-23 01:00:00,1,0,1.0899999999999999
2024-11-23 02:00:00,1,0,1.0899999999999999
2024-11-23 14:00:00,0,1,1.0933333333333333
2024-11-24 06:00:00,0,1,1.0933333333333333
2024-11-24 07:00:00,0,1,1.0933333333333333
2024-11-24 10:00:00,1,0,1.0933333333333333
2024-11-24 11:00:00,1,0,1.0933333333333333
2024-11-24 12:00:00,1,0,1.0966666666666667
2024-11-24 13:00:00,1,0,1.0966666666666667
2024-11-24 14:00:00,1,0,1.0966666666666667
2024-11-24 23:00:00,1,0,1.0966666666666667
2024-11-25 00:00:00,1,0,1.0966666666666667
2024-11-25 01:00:00,1,0,1.0966666666666667
2024-11-25 02:00:00,1,0,1.0966666666666667
2024-11-25 03:00:00,1,0,1.0966666666666667
2024-11-25 04:00:00,1,0,1.0966666666666667
2024-11-25 06:00:00,0,1,1.0966666666666667
2024-11-25 07:00:00,0,1,1.0966666666666667
2024-11-25 08:00:00,0,1,1.0966666666666667
2024-11-25 09:00:00,0,1,1.0966666666666667
2024-11-25 10:00:00,0,1,1.0966666666666667
2024-11-27 08:00:00,0,1,1.1033333333333333
2024-11-27 15:00:00,0,1,1.1066666666666665
2024-11-27 16:00:00,1,0,1.1066666666666665
2024-11-27 17:00:00,1,0,1.1066666666666665
2024-11-27 18:00:00,1,0,1.1066666666666665
2024-11-27 19:00:00,1,0,1.1066666666666665
2024-11-27 20:00:00,1,0,1.1066666666666665
2024-11-28 20:00:00,1,0,1.1099999999999999
